country,year,births_thousands,female_mortality_15_60,male_mortality_15_60,net_migration_rate,births
ruguay,2022,35.667999999999999,75.814,140.742,-0.438,35668
enezuela olivarian epublic of,2022,438.38400000000001,110.413,242.597,10.576,438384
 ,2022,4104.3760000000002,86.496,148.002,3.314,4104376
ermuda,2022,0.48199999999999998,49.05,93.774,0,482
anada,2022,376.18799999999999,46.829,76.109,6.485,376188
reenland,2022,0.79600000000000004,122.899,194.039,-1.77,796
aint ierre and iquelon,2022,4.3999999999999997E-2,43.226,122.763,0,44
nited tates of merica,2022,3726.8670000000002,91.048,156.092,2.956,3726867
,2022,696.22,72.967,120.691,3.168,696220
ustraliaew ealand,2022,364.34899999999999,43.104,71.572,4.89,364349
ustralia,2022,300.24599999999998,41.836,70.853,5.362,300246
ew ealand,2022,64.102999999999994,49.27,75.041,2.51,64102.99999999999
elanesia,2022,307.363,163.929,257.272,-0.439,307363
iji,2022,17.821000000000002,176.54,240.041,-3.818,17821
ew aledonia,2022,4.0949999999999998,48.788,109.649,1.726,4094.9999999999995
apua ew uinea,2022,254.71799999999999,168.941,269.868,-0.079,254718
olomon slands,2022,21.262,140.567,182.723,-2.206,21262
anuatu,2022,9.4659999999999993,133.745,198.814,0,9466
icronesia,2022,10.683999999999999,126.103,202.905,-3.042,10684
uam,2022,2.8170000000000002,84.415,171.278,-2.906,2817
iribati,2022,3.512,159.951,209.479,-3.043,3512
arshall slands,2022,0.77,237.362,291.677,0,770
icronesia ed tates of,2022,2.3679999999999999,104.976,217.387,-5.241,2368
auru,2022,0.34100000000000003,240.696,394.796,-10.986,341
orthern ariana slands,2022,0.60399999999999998,70.965,99.541,-1.009,604
alau,2022,0.27,223.343,359.714,-1.107,270
olynesia,2022,13.824,75.403,122.285,-4.728,13824
merican amoa,2022,0.76500000000000001,103.593,173.906,-18.13,765
ook slands,2022,0.27500000000000002,83.946,190.724,-5.862,275
rench olynesia,2022,3.8439999999999999,28.126,47.312,-0.326,3844
iue,2022,2.7E-2,137.961,171.447,0,27
amoa,2022,6.024,107.452,172.458,-6.722,6024
okelau,2022,3.5000000000000003E-2,130.308,130.622,0,35
onga,2022,2.456,151.131,227.862,-7.458,2456
uvalu,2022,0.26500000000000001,209.364,374.681,-5.288,265
allis and utuna slands,2022,0.13500000000000001,62.191,66.538,-11.68,135
